Sample 1
6/12/2023 2:04 PM
Wavelength (nm)	10mm Absorbance
320.5	-0.002
321.0	-0.003
321.5	-0.002
322.0	-0.001
322.5	-0.001
323.0	-0.002
323.5	-0.003
324.0	-0.003
324.5	-0.002
325.0	-0.003
325.5	-0.003
326.0	-0.003
326.5	-0.003
327.0	-0.003
327.5	-0.002
328.0	-0.001
328.5	-0.001
329.0	-0.001
329.5	0.000
330.0	0.000
330.5	0.000
331.0	-0.001
331.5	0.001
332.0	-0.001
332.5	-0.001
333.0	0.000
333.5	0.001
334.0	0.002
334.5	0.002
335.0	0.003
335.5	0.002
336.0	0.001
336.5	0.000
337.0	-0.001
337.5	-0.001
338.0	-0.002
338.5	0.000
339.0	-0.001
339.5	-0.001
340.0	0.000
340.5	0.001
341.0	0.000
341.5	-0.002
342.0	-0.002
342.5	-0.002
343.0	-0.003
343.5	-0.003
344.0	-0.002
344.5	-0.001
345.0	0.000
345.5	0.001
346.0	0.001
346.5	0.001
347.0	0.000
347.5	0.000
348.0	0.000
348.5	0.000
349.0	0.001
349.5	0.002
350.0	0.002


Sample 3
6/12/2023 2:06 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	0.15000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	0.972
220.5	0.934
221.0	0.897
221.5	0.862
222.0	0.825
222.5	0.793
223.0	0.764
223.5	0.733
224.0	0.703
224.5	0.674
225.0	0.651
225.5	0.633
226.0	0.616
226.5	0.602
227.0	0.593
227.5	0.585
228.0	0.578
228.5	0.574
229.0	0.569
229.5	0.566
230.0	0.563
230.5	0.560
231.0	0.560
231.5	0.558
232.0	0.558
232.5	0.558
233.0	0.559
233.5	0.562
234.0	0.567
234.5	0.572
235.0	0.578
235.5	0.585
236.0	0.593
236.5	0.604
237.0	0.616
237.5	0.629
238.0	0.646
238.5	0.664
239.0	0.685
239.5	0.704
240.0	0.723
240.5	0.741
241.0	0.756
241.5	0.773
242.0	0.790
242.5	0.809
243.0	0.832
243.5	0.855
244.0	0.878
244.5	0.901
245.0	0.921
245.5	0.942
246.0	0.962
246.5	0.980
247.0	0.999
247.5	1.018
248.0	1.036
248.5	1.057
249.0	1.074
249.5	1.091
250.0	1.107
250.5	1.121
251.0	1.138
251.5	1.154
252.0	1.169
252.5	1.186
253.0	1.200
253.5	1.214
254.0	1.227
254.5	1.238
255.0	1.247
255.5	1.256
256.0	1.258
256.5	1.259
257.0	1.260
257.5	1.260
258.0	1.258
258.5	1.255
259.0	1.251
259.5	1.246
260.0	1.240
260.5	1.235
261.0	1.228
261.5	1.221
262.0	1.214
262.5	1.205
263.0	1.194
263.5	1.181
264.0	1.167
264.5	1.149
265.0	1.128
265.5	1.107
266.0	1.088
266.5	1.068
267.0	1.050
267.5	1.031
268.0	1.010
268.5	0.990
269.0	0.970
269.5	0.950
270.0	0.930
270.5	0.911
271.0	0.891
271.5	0.871
272.0	0.850
272.5	0.830
273.0	0.810
273.5	0.789
274.0	0.768
274.5	0.747
275.0	0.728
275.5	0.706
276.0	0.684
276.5	0.662
277.0	0.640
277.5	0.618
278.0	0.596
278.5	0.573
279.0	0.552
279.5	0.533
280.0	0.513
280.5	0.494
281.0	0.476
281.5	0.457
282.0	0.440
282.5	0.421
283.0	0.403
283.5	0.387
284.0	0.371
284.5	0.355
285.0	0.340
285.5	0.326
286.0	0.311
286.5	0.298
287.0	0.283
287.5	0.269
288.0	0.254
288.5	0.241
289.0	0.230
289.5	0.217
290.0	0.205
290.5	0.194
291.0	0.183
291.5	0.170
292.0	0.158
292.5	0.148
293.0	0.139
293.5	0.131
294.0	0.122
294.5	0.114
295.0	0.105
295.5	0.098
296.0	0.090
296.5	0.083
297.0	0.078
297.5	0.073
298.0	0.068
298.5	0.063
299.0	0.060
299.5	0.057
300.0	0.053
300.5	0.048
301.0	0.043
301.5	0.040
302.0	0.037
302.5	0.033
303.0	0.029
303.5	0.026
304.0	0.024
304.5	0.023
305.0	0.020
305.5	0.019
306.0	0.018
306.5	0.016
307.0	0.014
307.5	0.013
308.0	0.012
308.5	0.012
309.0	0.011
309.5	0.010
310.0	0.010
310.5	0.008
311.0	0.007
311.5	0.007
312.0	0.005
312.5	0.004
313.0	0.003
313.5	0.003
314.0	0.001
314.5	0.000
315.0	0.000
315.5	0.000
316.0	0.000
316.5	-0.001
317.0	0.000
317.5	-0.001
318.0	-0.001
318.5	0.000
319.0	0.000
319.5	0.000
320.0	0.001
320.5	0.001
321.0	0.002
321.5	0.003
322.0	0.005
322.5	0.004
323.0	0.005
323.5	0.004
324.0	0.003
324.5	0.003
325.0	0.003
325.5	0.004
326.0	0.004
326.5	0.003
327.0	0.004
327.5	0.004
328.0	0.003
328.5	0.002
329.0	0.002
329.5	0.002
330.0	0.002
330.5	0.001
331.0	0.000
331.5	0.001
332.0	-0.001
332.5	-0.002
333.0	-0.001
333.5	-0.001
334.0	0.000
334.5	-0.001
335.0	-0.001
335.5	0.000
336.0	0.001
336.5	0.000
337.0	-0.002
337.5	-0.002
338.0	-0.002
338.5	-0.001
339.0	-0.001
339.5	0.000
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	-0.001
342.0	-0.001
342.5	0.000
343.0	0.000
343.5	-0.002
344.0	-0.002
344.5	-0.002
345.0	-0.001
345.5	0.001
346.0	0.001
346.5	0.001
347.0	0.001
347.5	0.002
348.0	0.002
348.5	0.002
349.0	0.003
349.5	0.004
350.0	0.004


Sample 4
6/12/2023 2:06 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.30333	
//WLCalib: 261S 	0.17000	
//WLCalib: 362S 	-0.17000	
//WLCalib: 484S 	0.15000	
//WLCalib: 529S 	0.26000	
//WLCalib: 823S 	-0.40000	
//QSpecEnd: 
220.0	1.208
220.5	1.152
221.0	1.099
221.5	1.049
222.0	1.002
222.5	0.958
223.0	0.917
223.5	0.879
224.0	0.845
224.5	0.817
225.0	0.797
225.5	0.782
226.0	0.773
226.5	0.766
227.0	0.763
227.5	0.762
228.0	0.763
228.5	0.766
229.0	0.770
229.5	0.775
230.0	0.782
230.5	0.790
231.0	0.801
231.5	0.813
232.0	0.827
232.5	0.844
233.0	0.863
233.5	0.885
234.0	0.910
234.5	0.938
235.0	0.967
235.5	0.998
236.0	1.030
236.5	1.064
237.0	1.100
237.5	1.142
238.0	1.188
238.5	1.237
239.0	1.288
239.5	1.339
240.0	1.387
240.5	1.431
241.0	1.471
241.5	1.511
242.0	1.551
242.5	1.594
243.0	1.643
243.5	1.693
244.0	1.745
244.5	1.794
245.0	1.841
245.5	1.885
246.0	1.930
246.5	1.973
247.0	2.015
247.5	2.057
248.0	2.099
248.5	2.142
249.0	2.181
249.5	2.217
250.0	2.251
250.5	2.285
251.0	2.321
251.5	2.356
252.0	2.391
252.5	2.425
253.0	2.457
253.5	2.487
254.0	2.514
254.5	2.536
255.0	2.554
255.5	2.569
256.0	2.578
256.5	2.583
257.0	2.586
257.5	2.586
258.0	2.583
258.5	2.576
259.0	2.569
259.5	2.559
260.0	2.549
260.5	2.538
261.0	2.525
261.5	2.510
262.0	2.495
262.5	2.477
263.0	2.455
263.5	2.428
264.0	2.398
264.5	2.360
265.0	2.318
265.5	2.273
266.0	2.232
266.5	2.193
267.0	2.152
267.5	2.110
268.0	2.067
268.5	2.023
269.0	1.981
269.5	1.939
270.0	1.898
270.5	1.858
271.0	1.815
271.5	1.773
272.0	1.730
272.5	1.687
273.0	1.644
273.5	1.601
274.0	1.557
274.5	1.516
275.0	1.474
275.5	1.428
276.0	1.381
276.5	1.335
277.0	1.287
277.5	1.240
278.0	1.194
278.5	1.150
279.0	1.106
279.5	1.064
280.0	1.023
280.5	0.985
281.0	0.947
281.5	0.907
282.0	0.870
282.5	0.832
283.0	0.796
283.5	0.762
284.0	0.729
284.5	0.697
285.0	0.667
285.5	0.637
286.0	0.607
286.5	0.578
287.0	0.546
287.5	0.516
288.0	0.487
288.5	0.460
289.0	0.435
289.5	0.408
290.0	0.384
290.5	0.360
291.0	0.335
291.5	0.310
292.0	0.287
292.5	0.267
293.0	0.250
293.5	0.232
294.0	0.214
294.5	0.198
295.0	0.181
295.5	0.166
296.0	0.152
296.5	0.139
297.0	0.129
297.5	0.120
298.0	0.112
298.5	0.102
299.0	0.094
299.5	0.086
300.0	0.078
300.5	0.069
301.0	0.061
301.5	0.053
302.0	0.046
302.5	0.040
303.0	0.034
303.5	0.030
304.0	0.026
304.5	0.021
305.0	0.018
305.5	0.015
306.0	0.012
306.5	0.010
307.0	0.007
307.5	0.006
308.0	0.005
308.5	0.005
309.0	0.004
309.5	0.003
310.0	0.002
310.5	0.001
311.0	0.000
311.5	0.000
312.0	0.001
312.5	0.002
313.0	0.002
313.5	0.001
314.0	0.001
314.5	0.000
315.0	0.001
315.5	0.001
316.0	0.002
316.5	0.002
317.0	0.003
317.5	0.003
318.0	0.003
318.5	0.004
319.0	0.003
319.5	0.001
320.0	0.000
320.5	0.000
321.0	0.001
321.5	0.001
322.0	0.002
322.5	0.001
323.0	0.002
323.5	0.001
324.0	0.001
324.5	0.002
325.0	0.002
325.5	0.002
326.0	0.003
326.5	0.002
327.0	0.002
327.5	0.002
328.0	0.001
328.5	0.001
329.0	0.000
329.5	0.000
330.0	0.001
330.5	0.001
331.0	0.000
331.5	0.000
332.0	-0.002
332.5	-0.004
333.0	-0.003
333.5	-0.003
334.0	-0.002
334.5	-0.001
335.0	0.000
335.5	0.000
336.0	0.000
336.5	0.000
337.0	-0.001
337.5	-0.003
338.0	-0.002
338.5	-0.002
339.0	-0.002
339.5	0.000
340.0	0.000
340.5	0.001
341.0	-0.001
341.5	-0.001
342.0	-0.001
342.5	0.000
343.0	-0.001
343.5	-0.002
344.0	-0.001
344.5	0.000
345.0	0.001
345.5	0.002
346.0	0.002
346.5	0.002
347.0	0.000
347.5	0.000
348.0	0.000
348.5	0.001
349.0	0.000
349.5	0.002
350.0	0.001

